Date;Delito;SubDelito;Fecha;Victima;SubVíctima;Edad;Sexo;Nacionalidad;Provincia;Cantón;Distrito
2024;HOMICIDIO;FEMICIDIO;27/8/2024;PERSONA;PEATÓN [PERSONA];Mayor de edad;DESCONOCIDO;COSTA RICA;ALAJUELA;SAN CARLOS;VENADO
2024;HOMICIDIO;FEMICIDIO;8/8/2024;PERSONA;OTRO O INDETERMINADO [PERSONA];Mayor de edad;MUJER;COSTA RICA;GUANACASTE;NICOYA;SÁMARA
2024;HOMICIDIO;FEMICIDIO;13/7/2024;PERSONA;PEATÓN [PERSONA];Mayor de edad;MUJER;COSTA RICA;PUNTARENAS;COTO BRUS;GUTIÉRREZ BRAUN
2024;HOMICIDIO;FEMICIDIO;22/6/2024;PERSONA;PEATÓN [PERSONA];Mayor de edad;MUJER;COSTA RICA;PUNTARENAS;BUENOS AIRES;BUENOS AIRES
2024;HOMICIDIO;FEMICIDIO;4/6/2024;PERSONA;OTRO O INDETERMINADO [PERSONA];Mayor de edad;MUJER;COSTA RICA;LIMÓN;GUÁCIMO;GUÁCIMO
2024;HOMICIDIO;FEMICIDIO;27/5/2024;PERSONA;PEATÓN [PERSONA];Mayor de edad;MUJER;Desconocido;ALAJUELA;UPALA;UPALA
2024;HOMICIDIO;FEMICIDIO;17/5/2024;PERSONA;PEATÓN [PERSONA];Mayor de edad;MUJER;COSTA RICA;HEREDIA;SAN RAFAEL;SAN JOSECITO
2024;HOMICIDIO;FEMICIDIO;21/4/2024;PERSONA;OTRO O INDETERMINADO [PERSONA];Mayor de edad;MUJER;NICARAGUA;LIMÓN;MATINA;BATÁN
2024;HOMICIDIO;FEMICIDIO;2/4/2024;PERSONA;OTRO O INDETERMINADO [PERSONA];Mayor de edad;MUJER;COSTA RICA;LIMÓN;POCOCÍ;CARIARI
2024;HOMICIDIO;FEMICIDIO;6/2/2024;PERSONA;PEATÓN [PERSONA];Desconocido;MUJER;COSTA RICA;PUNTARENAS;PARRITA;PARRITA
2023;HOMICIDIO;FEMICIDIO;25/10/2023;PERSONA;OTRO O INDETERMINADO [PERSONA];Desconocido;MUJER;Desconocido;CARTAGO;CARTAGO;SAN NICOLAS
2021;HOMICIDIO;FEMICIDIO;30/11/2021;PERSONA;PEATON [PERSONA];Desconocido;MUJER;NICARAGUA;ALAJUELA;LOS CHILES;LOS CHILES
2021;HOMICIDIO;FEMICIDIO;11/10/2021;PERSONA;OTRO O INDETERMINADO [PERSONA];Mayor de edad;MUJER;COSTA RICA;LIMON;TALAMANCA;SIXAOLA
2021;HOMICIDIO;FEMICIDIO;2/9/2021;PERSONA;OTRO O INDETERMINADO [PERSONA];Desconocido;DESCONOCIDO;COSTA RICA;GUANACASTE;LIBERIA;LIBERIA
2021;HOMICIDIO;FEMICIDIO;2/9/2021;PERSONA;OTRO O INDETERMINADO [PERSONA];Mayor de edad;MUJER;COSTA RICA;GUANACASTE;LIBERIA;LIBERIA
2021;HOMICIDIO;FEMICIDIO;6/6/2021;PERSONA;PEATON [PERSONA];Mayor de edad;MUJER;COSTA RICA;LIMON;LIMON;LIMON
2021;HOMICIDIO;FEMICIDIO;7/4/2021;PERSONA;INDIGENTE [PERSONA];Desconocido;MUJER;NICARAGUA;ALAJUELA;ALAJUELA;DESAMPARADOS
2021;HOMICIDIO;FEMICIDIO;20/1/2021;PERSONA;PROSTITUTA [PERSONA];Desconocido;DESCONOCIDO;Desconocido;ALAJUELA;ALAJUELA;SAN JOSE
2020;HOMICIDIO;FEMICIDIO;25/10/2020;PERSONA;OTRO O INDETERMINADO [PERSONA];Mayor de edad;MUJER;NICARAGUA;ALAJUELA;ALAJUELA;TAMBOR
2020;HOMICIDIO;FEMICIDIO;19/9/2020;PERSONA;OTRO O INDETERMINADO [PERSONA];Mayor de edad;MUJER;COSTA RICA;HEREDIA;SAN RAFAEL;SAN RAFAEL
2019;HOMICIDIO;FEMICIDIO;25/11/2019;PERSONA;OTRO O INDETERMINADO [PERSONA];Mayor de edad;MUJER;COSTA RICA;LIMON;GUACIMO;GUACIMO
2019;HOMICIDIO;FEMICIDIO;1/11/2019;PERSONA;PEATON [PERSONA];Mayor de edad;MUJER;COSTA RICA;HEREDIA;BARVA;SAN PABLO
2019;HOMICIDIO;FEMICIDIO;5/10/2019;PERSONA;MENOR DE EDAD [PERSONA];Mayor de edad;MUJER;COSTA RICA;PUNTARENAS;GOLFITO;JIMENEZ
2019;HOMICIDIO;FEMICIDIO;5/10/2019;PERSONA;MENOR DE EDAD [PERSONA];Menor de edad;MUJER;COSTA RICA;PUNTARENAS;GOLFITO;JIMENEZ
2019;HOMICIDIO;FEMICIDIO;5/8/2019;PERSONA;PEATON [PERSONA];Mayor de edad;MUJER;COSTA RICA;PUNTARENAS;COTO BRUS;AGUA BUENA
2019;HOMICIDIO;FEMICIDIO;3/5/2019;PERSONA;OTRO O INDETERMINADO [PERSONA];Mayor de edad;MUJER;COSTA RICA;GUANACASTE;SANTA CRUZ;SANTA CRUZ
2019;HOMICIDIO;FEMICIDIO;1/5/2019;PERSONA;PEATON [PERSONA];Desconocido;MUJER;NICARAGUA;ALAJUELA;SAN CARLOS;POCOSOL
2019;HOMICIDIO;FEMICIDIO;25/4/2019;PERSONA;OTRO O INDETERMINADO [PERSONA];Mayor de edad;MUJER;COSTA RICA;LIMON;POCOCI;ROXANA
2019;HOMICIDIO;FEMICIDIO;26/3/2019;PERSONA;PEATON [PERSONA];Mayor de edad;MUJER;COSTA RICA;PUNTARENAS;GOLFITO;GOLFITO
2019;HOMICIDIO;FEMICIDIO;9/3/2019;PERSONA;OTRO O INDETERMINADO [PERSONA];Mayor de edad;MUJER;NICARAGUA;SAN JOSE;DESAMPARADOS;SAN JUAN DE DIOS
2019;HOMICIDIO;FEMICIDIO;9/3/2019;PERSONA;OTRO O INDETERMINADO [PERSONA];Mayor de edad;HOMBRE;NICARAGUA;SAN JOSE;DESAMPARADOS;SAN JUAN DE DIOS
2019;HOMICIDIO;FEMICIDIO;12/2/2019;PERSONA;PEATON [PERSONA];Mayor de edad;MUJER;COSTA RICA;GUANACASTE;SANTA CRUZ;SANTA CRUZ
2018;HOMICIDIO;FEMICIDIO;5/2/2018;PERSONA;OTRO O INDETERMINADO [PERSONA];Mayor de edad;MUJER;COSTA RICA;HEREDIA;BARVA;BARVA
